link,subject,name,count,class,text
https://forge.medium.com/you-dont-need-more-motivation-you-need-a-system-84f4bf12c4bb?source=search_post---------0,motivation,0.txt,358,0,greatest talent always coming excuse putting something want skipped make tomorrow snooze button well needed rest brushed task todo list important procrastination always inner battle losing greater consequence missed workout blown deadline every year tried pursue dream becoming entrepreneur freelance writing built website took content marketing design project despite time seeing result wanted uncomfortable work difficult tedious unsatisfying task come actually building business kept looking relief task often scrolling news going coffee break degree still story life right writing book writing hard keep fighting urge work moving along getting done difference life year life today system forgemediumcom mean truly productive rely hack apps technology trust tried need develop sustainable system routine practice serf foundation work system look like noticed thing related work directly okay system right headspace work done make disciplined person write power distracting thought actually write always want procrastinate system productive spite work creating today tomorrow
https://medium.com/swlh/theres-no-such-thing-as-motivation-e02edd7de30?source=search_post---------1,motivation,1.txt,1243,0,highly motivated amazing willpower selfcontrol read meditate drink green smoothie believe motivation instead built system habit remove internal drive equation whether feel motivated still productive realize system habit glamorous topic honestly work fuelled every step entrepreneurial journey last year early jotform simple idea growing team employee serve million user habit system made possible create reliable system continue improve system instead willpower even think motivation break little simplest term motivation desire something sense willingness exists spectrum zero interest burning desire take action desire strong motivation feel effortless struggling anything sound better starting assignment making tough phone call hitting procrastination take agony becomes overwhelming steven pressfield writes point pain becomes greater pain love quote suspect felt painful moment harder stay couch sneaker outside 2011 book drive surprising truth motivates author daniel pink split motivation different type extrinsic intrinsic extrinsic motivation external money praise trying look clumsy tennis court intrinsic motivation come within desire even reward activity completing task intrinsic motivation implies acting authentic honorable reason example start business help people solve problem dazzled vision fame fortune matter much love business probably moment want take action maybe feel scary impossible task hand downright boring system heavy lifting strategy helped build sustainable system rely motivation focus motivation might seem like different topic closely intertwined take example year work priority theme inform everything project opportunity three bucket distraction slip away make real progress example spend first hour every workday writing thought might problem trying solve idea book meeting period definitely answer email arrive work feeling inspired give permission something else long within three focus area instead writing problemsolving read article book topic meet product team watch lecture thinking exploring soon make feel engaged engaged come better idea good idea inspire take action process accidental simple feedback loop moving brain feel stuck neutral 2016 article author melissa dahl share motivational advice anyone ever needed feel like getting something done order actually done back read want know sink surprisingly brilliant feeling match action especially truly want move forward could feel tired still goggles swim could feel like rather staple chair build another powerpoint deck still presentation done dahl also quote oliver burkeman author antidote happiness people stand positive thinking writes need wait feel like something order start problem perspective feel motivated imagine need feel motivated routine outsmart feeling sure might feel like watching video every morning computer open blank document write hour whatever routine entail bother taking emotional temperature progress ensues repeat repeat repeat great idea morning workout eyebrowraising lightbulb moment unfortunately nothing three focus area mentioned made note phone asked follow mental thread tempted chase knew stay focused realize delegation always possible especially starting money tight jotform bootstrapped company never taken dime outside funding know like watch every dollar possible delegation time offload activity talked everyday motivation sustain drive long important question answer look little different everyone ultimately motivated meaning guardian columnist antidote author oliver burkeman first buddhist teacher susan piver tired forcing good master daily todo list piver decided instead focus pleasure work remembered motivation rooted genuine curiosity task complete alignment want office suddenly seemed like playground rather labor camp asked would focused loved activity looked disciplined experience nearly effortless discipline critical like teacher definitely stuff need never going like paying bill cleaning suggest instead disciplined hating thing done disciplined remaining close brings talk perspective shift tough time work love endure genuine unfairness struggling something care deeply easy started business flexing creative muscle first place much happier move recap establish system habit stay focused matter delegate tune noise motivation grow need anyway
https://medium.com/the-mission/the-most-motivational-statement-ever-in-3-words-84854eba5f13?source=search_post---------2,motivation,2.txt,639,0,motivational statement come three word gonna trying scare practical life chance make happy instead sitting complaining pursuing thing want life something many people focus people happiness focusing know like making people happy motivating succeed already happy might sound selfish first person need make happy make people happy implore honest thing position succeed business world life happy life realize make money much important much make early spent enormous amount time surrounding people whether traveling working wine industry would tell life started word wish wished worked harder wished spent time loved wished wanted instead listening parent wished wished wished thing learned hanging oldtimer better time early moment time practical maximize money something flashy like fancy right school time realize fiveyear window give take attack life want travel buddy experience world start band hone talent start networking still living apartment eight people since major life commitment time take chance life want even older still time make happy want badly instead retiring taking golf maybe time triple really focus want live world today much opportunity available especially internet give access pursue thing care bottom line going someday matter time make happy never opportunity open create life want compelled write post reaction observing past couple year tendency people opportunity think come back later people living life like unlimited time know true person change behavior conversation take chance glad wrote gonna motivate every morning want done life chance biggest poison encounter human regret stop making excuse start making happy
https://medium.com/swlh/how-to-make-yourself-work-when-you-dont-have-any-motivation-34a7816d7d6a?source=search_post---------3,motivation,3.txt,884,0,break chain four simple word helped jerry seinfeld become world successful comedian seinfeld mantra pushed write joke every single using wall calendar drew wrote started forming chain motivation grew like seeing chain especially week belt next break chain seinfeld told young comedian asked success seinfeld technique ultimately landing television show perfect example success always begin extraordinary motivation like snowball gathering speed sometimes motivation build started nature highly motivated person early riser particularly love read book week somehow still managed launch jotform slowly grow network million user last twelve year squeeze workout many morning getting stuff done always depend motivation accomplish great thing even feel like avoid something higher anxiety stop procrastination cycle need first identify reason avoiding task usually prevention promotion emotion play role promotion prevention focus feeling like part trickiest melissa dahl shared 2016 article feel like getting something done order actually done critical point simple often difficult apply similarly think something boring unpleasant need take feeling equation decide advance exactly every emotion lying staring ceiling weighing exercise save decision fatigue commit previouslydetermined schedule huge success narrowed concentration thing success varied focus success sequential simultaneous gary keller papasan author thing like morning page routine motivation result action cause manage started even smallest momentum keep going sustained momentum toward singular goal creates compound effect essence concept consistent incremental change result fundamental change time warren buffett grew worth 1257 percent next year truly astounding grew worth 7268 percent slowly surely started building chain investment never stopped power momentum explained idea called physic productivity newton first applied habit formation object motion tend stay motion task begun easier continue moving forward start small action putting running sneaker finishing presentation introduction chance find easier continue routine come handy eliminate decisionmaking process decide something also exact step want publish blog post muster motivation started commit completing paragraph done take step create ritual activity pour fresh coffee practice couple minute mindful breathing started successful people believe ritual take worldfamous author motivational speaker tony robbins every morning robbins prime mind start minute performs three kapalbhati pranayama breath express gratitude prays help guidance strength throughout brain primed start whatever choose ritual reduce chance skip activity fact sometimes ritual help look forward like slipping pair comfortable slipper moment home motivation fire start engine jeff haden author motivation myth writes fire start burning manually painfully coax existence feed satisfaction seeing make progress many time motivation come start working toward goal trick getting take first step beat motivation start task making headway figuring stopping creating schedule ritual progress come whether feel like turn fire grows decide want accomplish commit routine remember seinfeld advice break chain
https://betterhumans.pub/how-to-do-a-life-changing-accountability-partnership-in-less-than-2-minutes-a-day-41142d80c44d?source=search_post---------4,motivation,4.txt,980,0,people think accountability partner cringe feel like work feel hard essential making extreme progress life also easy something minute short article going explain make great accountability partnership going break simple daily accountability partner motivating overwhelming stoked start mistake people make stop starting accountability partnership thinking need find someone similar interest goal totally bogus actually better someone thing purpose accountability shared interest shared accountability seriously matter accountability partner trying accomplish matter never person thing matter finding someone hold accountable find someone level ambition desired accountability find someone want level accountability need simple fast system daily accountability best form habit rhythm partner weekly likely lose track forget want lose momentum aside getting obsessed finding right partner second biggest mistake losing momentum even start daily accountability essential rhythm stay track purpose accountability friendship kinship accountability getting result life want result looking friend accountability partner become best friend pushing forward purpose relationship friend actually almost better choose someone already friend sole purpose relationship accountability book atomic habit james clear wisely share principle call showing tell story wanted establish habit going every spent first week limiting five minute every five minute force leave stay already wanted establish habit showing clear state cannot optimize people focus much endgame rather starting friction success getting going rather overly ambitious accountability partnership need extremely friction easy take minute work every morning shoot accountability partner text email preferred stating three goal report addition reporting also list three thing next next morning relist thing night reason want report result list three thing next remove decisionmaking next morning text message take minute type mine look like accountability partner partner contact even named phone daily accountability master showing daily text weekly element every week sunday night addition reporting daily also list following week look like addition daily weekly share monthly goal optional overboard started powerful share monthly goal bring daily accountability purpose type accountability consistency lack friction however sharing picture goal powerful remember accountability partnership intended serve serve quick snapshot monthly goal every accountability partner send text beginning simply list three objective report list three objective next eliminate decision fatigue powerful morning routine week share three objective week week report objective every month share monthly objective also 60minute phone call discus month went past month overcome habit emotional block held back really long time core purpose accountability reporting progress awareness improve actively aware reason people never become excellent thing track report progress daily want become successful area life need measure report daily force focus focus expands greatest asset conscious awareness become conscious something aggressively seek improvement thing tangible goal reporting progress momentum skyrocket
https://medium.com/the-mission/the-secret-to-your-self-motivation-lies-in-this-surprising-science-backed-habit-608fbedfbbd7?source=search_post---------5,motivation,5.txt,906,0,ience discovered remarkably simple source endless selfmotivation anything mind sometimes feel like brain working come achieving goal plan learn skill shape save money start business keep getting pushed back hope future handle someday crippling behavioral cycle fact psychology procrastination classified form selfsabotage good news learning become selfmotivated feel difficult nebulous potential solution remarkably simple according psychology today cognitive neuroscience finding psychology professor harvard university siegel suggested following motivation boil bring optimism back picture sound little hokey right completing term paper exactly habit seems anything scientific neurological reason behind modern brain still wired ancient evolutionary purpose surviving dangerous environment million year developed specialized neural structure selectively tuned danger signal time come create productive instead focusing pleasurable rewarding aspect obtaining goal brain dwell anxiety fear come along something putting daring fail survival mode push away potentially uncomfortable situation fact optimism relatively concept brain evolutionarily speaking however extremely easy method make creating achieving dream feel effortless fulfilling siegel suggests simple snap selfmotivation write list something outweigh initial pang getting started simple twocolumned list trick excel spreadsheet work might realize able enjoy weekend without hanging head well worth method effective next step really drive technique home write list really visualize conjure precise feeling sensation meeting goal bring goal follow healthier diet example viscerally picture feel result think energy better skin protect heart disease mentally walking process success benefit brings teach brain motivated something fear visualization scientifically proven increase odds successfully reaching goal another article psychology today report research revealed mental practice almost effective true physical practice effective either alone might thinking need rewarded every time something however going back professor siegel point critical aspect sustainable selfmotivation pleasure reward system fantastic help accomplish rewarding reaching goal good selfcare technique also change chemistry brain make motivated study compared motivated people brain lazy people brain dopamine level certain area brain played large role people ability selfmotivated turn dopamine released anticipation reward rewarding accomplishment help stay track positive motivation work make mistake selfsabotaging counterproductive prize like spending lavishly lifehacker reward give undermine goal serf back remember investing greatest gift give deserve something continues reward year rather punishing novelty wear everything taking exciting class setting money aside future endeavor productive stay selfmotivated something great investing future something feel fantastic like people pathway success probably major hopefully audacious longterm goal tackling probably know huge aspiration accomplished overnight find time make symbolic fist pump every techco cofounder frank gruber journey hard make sustainable bearable actually acknowledge small success along celebrating tiny find muchneeded daily dose selfmotivation long focusing rewarding sensory experience accomplishing goal hard work eventually liked check website follow medium selfmotivation love hear
https://medium.com/@dvassallo/only-intrinsic-motivation-lasts-92c0497cf97c?source=search_post---------6,motivation,6.txt,1070,0,last week left cushy amazon year despite getting rewarded repeatedly promotion compensation recognition praise motivated enough another year spent entire time building tool developer liked field much would satisfied working rest life joined amazon entry level developer within year promoted twice senior engineer practically guaranteed another promotion principal engineer year stayed potential company high told esteem within company grew along year regarded expert leader field people looked respected made first year gradually grew 511k last year could made another stayed another couple year work life balance good despite amazon reputation need prove anymore could everything done hour week team worked home week rarely opened laptop night weekend also people worked exceptional three manager total generous people empathy grateful everyone worked everything going well getting better despite motivation work morning decreasing almost inverse trend career income growth would foolish expect motivation start increasing another promotion another compensation bump another project something else trending motivation freedom first couple year motivation chart mostly working another person internal tool little scrutiny around time independence choosing work work least relative recent year person improving thing talking user releasing update testing everything else whatever felt important generally best work could sake mostly selfdirected last couple year however quite different leading important project history department many stakeholder complex goal could always bounded ability convince people involved best navigate goal always going working somebody else term amazon term simple beginning keep fixing thing kept getting complicated year passed maximize goal satisfy stakeholder restriction inherent working large organization work work goal business worth pursuing situation squeezing thing rather vice versa kind work would forever something reached milestone exit something would consider satisfactory continued could would make excited waking every next year could also earn enough money cover expense unambitious think type driver morning come outside form carrot stick instance automatically driven return every april make sure want prison might want work something dislike anyway need bill want fancy extrinsic motivator come within drive thing carrot stick hobby activity driven looking something could living also driven type motivation intrinsic kind back question whether unambitious realized extrinsic motivation last whenever promoted felt good week first 100k income would take peek admiring digit wore 200k 300k 400k 500k thing would delusional think earning would suddenly make different feel every extrinsic reward material possession getting feel good wear quickly thing wear since nothing forcing thing writing code selling creation charting path calling like know strength know motivates time lucky live time something independently area expertise without requiring large amount capital outside investor going independence going make living bare hand starting nothing expect thing like term target cover family expense saving something intrinsically motivates would ever want satisfied work
https://medium.com/personal-growth/the-fresh-start-effect-how-to-use-new-beginnings-for-extra-motivation-3e93743f8e7f?source=search_post---------7,motivation,7.txt,919,0,middle nothing gone right late start morning started gain momentum work derailed emergency cropped random video friend sent know sucked endless loop youtube video matter well start eventually wall slump nobody escape time give call hope carry fight tomorrow eventually pile find enough tomorrow better sometimes month eventually view wasted year reason come year resolution whenever 31st december roll around think resolution really changed people want lose weight save money matter year really done form mental accounting decided past failure left ledger chip heath noted power moment really telling time past failure last year think going make mistake really relegating self past disconnect past mistake imperfection leaf confident superior self confidence give motivation begin something challenging something would never done otherwise sound like fooling work researcher found google search word diet always soared january visit increased almost every activity related selfimprovement spike course amount time spent activity cratered time passed january half would failed year resolution already number reason happens take look fresh start power established increase activity better year researcher also found spike occurred start every calendar cycle search word diet spiked first every month first every week known temporal landmark stand forgettable break normal behavioural pattern cause take step back evaluate surroundings instant gain motivation make follow decision correlation beginning caused researcher term fresh start effect turn shift adulthood turn probably thinking career shaped turn family becomes greater priority seemingly arbitrary milestone grab attention sense beginning sense entering phase life beginning especially powerful clean slate chance start back original story middle gotten nothing done natural stressed midpoint often cause mental alarm daniel pink author scientific secret perfect timing call effect moment realise squandered half time also beneficial injects healthy dose stress revives motivation reshapes strategy obvious thing look fresh start daniel pink suggests particularly effective temporal landmark require something immediate important realise time matter perception wednesday mark middle work week also person view wednesday fresh start would motivated person view midpoint make sure able disconnect past mistake failure present taken short twentyminute break came back feeling refreshed part reason time rest reason created mini temporal landmark allows fresh start effect normal slump matter find continue even feel like giving strategy like designing environment work better keeping motivated need small boost consider resetting creating fresh start wait fresh start waiting next year next month next week seize give time special meaning find beginning every time
https://medium.com/personal-growth/if-your-goals-are-your-source-of-motivation-youre-doing-something-wrong-74780ec2842e?source=search_post---------8,motivation,8.txt,654,0,awesome used right effective tool improving achieving dream instance recently experimented unreasonably high goal found totally drive accomplishment also feel goal make endeavor exciting like bacon whatever going make better goal thing pulling forward something seriously wrong goal something away goal condemn process unsatisfied desire work satisfy desire experience pleasant temporary feeling desiresatisfaction byproduct reach goal follows void inner paradox goal valuable accomplish someday disappear charles need goal feel like existence purpose addicted philosopher even think human cannot withdraw cycle dissatisfaction labor goalachievement choose stay happy think accurate pointing emptiness goaldriven life argument relates important lesson truth buddhism meditating year mindfulnessmantra label fake always attracted sound catchy incredibly liberating nonmeditating friend recently asked explain actually mean able break pleasure traveling hometown netherlands budapest doctorate something clicked strange meaning label fake shed light wrong goal label mean context label mean evaluation something successful unsuccessful well screwed made failed fake mean cool context fake mean inherently existing evaluation factual property state affair really label naturally exist answer goal goal without goal fall short without metric inadequate benchmark moreover projection mind really exist think truth buddhist lesson label illusory buddha even take step suffering come wanting eradicate desire deduction could pain would stop creating possibility failure conclusion therefore stop fighting struggle worth brings deeper argument motivation come goal number argument achieving goal core incentive goal right cause motivation nothing good achieving goal ticking objective intrinsic value matter fast move pointless direction many people spend much time optimizing strategy enough questioning whether chasing worthwhile first place need target bring energy motivation probably something meaningful enough pulling forward recognition trying attain worth motivation side effect right reason something provided fact thing trying achieve make something worth achieving token making goal something suddenly make valuable important many people unimportant goal nutshell deep difference achieving goal achieving something importance lose sight
https://medium.muz.li/5-motivational-tips-for-designers-in-2018-b3b30ad72073?source=search_post---------9,motivation,9.txt,433,0,made mistake made narrow field niels bohr ought learn stuff halt prolific potential amusement gadget people sometimes design assist boost career focusing specific type design vital year bloom decide kind designer want crave uiux designer focus envy animator energy focusing saying steve slow matter keep moving every year reach goal design challenge quick logo design make progress every single year time next year find newyou fear moving slowly fear standing still chinese proverb making mistake indicates endeavor something design perfect implies innovating make fascinating error every master confess flaw make correction emendation lead innovate perfect brandnew idea expert made mistake made narrow field niels bohr everyone learn every specific learn attain goal take excel sheet gather design resource aspire learn column resource link next column date time want learn understand primary thing create design learnt think life properly lived learn learn learn time charlie munger somebody state design deliver best design tomorrow person comment still worse make excellent design strive hard proffer best stop tossing stone applaud life short squander proving naysayer wrong make cherished excelling deed high people throw stone look higher stone reach chetan bhagat johnyvino product designer building transformative experience mobile apps saas enterprise softwareyou connect dribbble behance linkedin
